"org_id" "clust_backbone" "clust_size" "sm_protein_id" "sm_short" "sm_desc"
3 "43247" 6 52309 "none" "ADH_N ADH_zinc_N"
3 "43247" 6 60461 "none" "none"
3 "43247" 6 43245 "none" "none"
3 "43247" 6 60463 "none" "MFS_1 Sugar_tr"
3 "43247" 6 43247 "HYBRID" "Ketoacyl-synt_C Condensation KR Acyl_transf_1 Epimerase PP-binding AMP-binding NAD_binding_4 adh_short ketoacyl-synt"
3 "43247" 6 43248 "none" "Zn_clus"
3 "28828" 10 60471 "none" "KR adh_short"
3 "28828" 10 43256 "none" "none"
3 "28828" 10 28828 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 PP-binding KR adh_short ketoacyl-synt"
3 "28828" 10 29290 "none" "Fungal_trans Aminotran_1_2"
3 "28828" 10 60477 "none" "none"
3 "28828" 10 43262 "none" "KR adh_short"
3 "28828" 10 43263 "none" "Zn_clus Fungal_trans"
3 "28828" 10 52321 "none" "none"
3 "28828" 10 52322 "none" "none"
3 "28828" 10 60481 "none" "GST_N"
3 "52325" 15 52324 "none" "MFS_1"
3 "52325" 15 43275 "none" "p450"
3 "52325" 15 43276 "none" "none"
3 "52325" 15 43277 "none" "none"
3 "52325" 15 52325 "NRPS" "AMP-binding PP-binding Condensation"
3 "52325" 15 43280 "none" "none"
3 "52325" 15 52327 "none" "FAD_binding_3"
3 "52325" 15 52328 "none" "Zn_clus Fungal_trans_2"
3 "52325" 15 43283 "none" "Epimerase"
3 "52325" 15 52330 "none" "none"
3 "52325" 15 43285 "none" "2OG-FeII_Oxy"
3 "52325" 15 29069 "none" "none"
3 "52325" 15 60496 "none" "ADH_N"
3 "52325" 15 28939 "none" "none"
3 "52325" 15 43289 "NRPS-Like" "AMP-binding NAD_binding_4 Epimerase"
3 "60653" 9 52420 "none" "GST_C GST_N"
3 "60653" 9 60651 "none" "none"
3 "60653" 9 28787 "none" "none"
3 "60653" 9 60653 "DMAT" "Trp_DMAT"
3 "60653" 9 43461 "none" "Fungal_trans"
3 "60653" 9 43462 "none" "FAD_binding_3"
3 "60653" 9 43463 "none" "none"
3 "60653" 9 43464 "none" "p450"
3 "60653" 9 60656 "none" "FAD_binding_3"
3 "52467" 7 43547 "none" "PhyH"
3 "52467" 7 52467 "NRPS" "AMP-binding PP-binding Condensation"
3 "52467" 7 43549 "none" "none"
3 "52467" 7 60732 "none" "p450"
3 "52467" 7 60733 "none" "none"
3 "52467" 7 60734 "none" "p450"
3 "52467" 7 43553 "none" "p450"
3 "60742" 4 60742 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 PP-binding KR ADH_N adh_short ketoacyl-synt"
3 "60742" 4 43563 "none" "none"
3 "60742" 4 60744 "none" "none"
3 "60742" 4 52476 "none" "KR adh_short"
3 "29333" 4 28796 "none" "MFS_1"
3 "29333" 4 43658 "none" "none"
3 "29333" 4 43659 "none" "none"
3 "29333" 4 29333 "PKS-Like" "ketoacyl-synt Ketoacyl-synt_C"
3 "63282" 18 63277 "none" "AflR"
3 "63282" 18 46492 "none" "none"
3 "63282" 18 46493 "none" "none"
3 "63282" 18 63279 "none" "none"
3 "63282" 18 33724 "none" "KR adh_short"
3 "63282" 18 33597 "none" "Lactamase_B"
3 "63282" 18 63282 "PKS" "ketoacyl-synt Acyl_transf_1 Ketoacyl-synt_C PP-binding"
