"org_id" "sm_protein_id" "ipr_id" "ipr_desc" "ipr_domain_start" "ipr_domain_end"
21 514 "IPR001680" "WD40 repeat" 128 167
21 514 "IPR001680" "WD40 repeat" 171 213
21 514 "IPR001680" "WD40 repeat" 258 296
3 31467 "IPR001680" "WD40 repeat" 655 692
3 31467 "IPR001680" "WD40 repeat" 696 734
3 31467 "IPR001680" "WD40 repeat" 738 775
3 31467 "IPR001680" "WD40 repeat" 922 944
3 31467 "IPR001680" "WD40 repeat" 948 986
14 3670 "IPR004843" "Calcineurin-like phosphoesterase domain, apaH type" 48 277
22 1083684 "IPR004843" "Calcineurin-like phosphoesterase domain, apaH type" 47 273
22 1119509 "IPR004843" "Calcineurin-like phosphoesterase domain, apaH type" 129 402
21 5251 "IPR004843" "Calcineurin-like phosphoesterase domain, apaH type" 40 266
3 53085 "IPR004843" "Calcineurin-like phosphoesterase domain, apaH type" 48 245
22 1159459 "IPR001563" "Peptidase S10, serine carboxypeptidase" 45 499
14 895 "IPR003439" "ABC transporter-like" 121 313
14 895 "IPR003439" "ABC transporter-like" 393 559
14 3603 "IPR003439" "ABC transporter-like" 391 618
14 3603 "IPR003439" "ABC transporter-like" 1100 1287
14 7047 "IPR003439" "ABC transporter-like" 628 734
14 7047 "IPR003439" "ABC transporter-like" 1217 1397
14 7515 "IPR003439" "ABC transporter-like" 407 598
14 7515 "IPR003439" "ABC transporter-like" 1071 1257
22 190013 "IPR003439" "ABC transporter-like" 623 800
22 190013 "IPR003439" "ABC transporter-like" 1229 1438
22 1040652 "IPR003439" "ABC transporter-like" 134 300
22 1109881 "IPR003439" "ABC transporter-like" 638 814
22 1109881 "IPR003439" "ABC transporter-like" 1190 1370
22 1116476 "IPR003439" "ABC transporter-like" 125 324
22 1116476 "IPR003439" "ABC transporter-like" 819 1008
22 1159373 "IPR003439" "ABC transporter-like" 425 664
22 1182122 "IPR003439" "ABC transporter-like" 617 796
22 1182122 "IPR003439" "ABC transporter-like" 1228 1438
22 1200460 "IPR003439" "ABC transporter-like" 633 809
22 1200460 "IPR003439" "ABC transporter-like" 1229 1410
22 1227624 "IPR003439" "ABC transporter-like" 614 776
22 1227624 "IPR003439" "ABC transporter-like" 1248 1438
21 1297 "IPR003439" "ABC transporter-like" 618 795
21 1297 "IPR003439" "ABC transporter-like" 1216 1397
21 2566 "IPR003439" "ABC transporter-like" 399 592
21 2566 "IPR003439" "ABC transporter-like" 1042 1237
21 3718 "IPR003439" "ABC transporter-like" 638 814
21 3718 "IPR003439" "ABC transporter-like" 1284 1417
21 3781 "IPR003439" "ABC transporter-like" 582 753
21 3781 "IPR003439" "ABC transporter-like" 1184 1382
21 4010 "IPR003439" "ABC transporter-like" 388 615
21 4010 "IPR003439" "ABC transporter-like" 1100 1287
21 4851 "IPR003439" "ABC transporter-like" 632 815
21 4851 "IPR003439" "ABC transporter-like" 1261 1472
21 6806 "IPR003439" "ABC transporter-like" 644 816
21 6806 "IPR003439" "ABC transporter-like" 1242 1422
3 25680 "IPR003439" "ABC transporter-like" 644 820
3 25680 "IPR003439" "ABC transporter-like" 1242 1422
3 10240 "IPR003439" "ABC transporter-like" 584 723
3 10240 "IPR003439" "ABC transporter-like" 1207 1429
3 20023 "IPR003439" "ABC transporter-like" 628 797
